Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Women Flats Sandal,https://www.flipkart.com/aerowalk-women-flats/p/itm1f3917534982c?pid=SNDGUHZYZCN8AN2C&lid=LSTSNDGUHZYZCN8AN2CJAS0HS&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_11&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxryfrjGudMQRAhR5lGTFh6dbiNbvVmJqDr7nfwGD-Edlw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/p/d/j/3-ck10-baby-pink-3-aerowalk-baby-pink-original-imahyzfzch8zhs4w.jpeg?q=70,Only 4 left,₹341,₹429,20% off
Women Flats Sandal,https://www.flipkart.com/ravis-women-flats/p/itmeb7bdbb05249d?pid=SNDGHFURAE4FKSZD&lid=LSTSNDGHFURAE4FKSZDGZ6ZPD&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_12&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxru_wQF5Hl_tQiMz4QaKtF74MZCgS-rMVcbva6CblyyZA%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/d/w/p/9-chandni-sliper-9-ravis-grey-original-imahyxysejzgyvsb.jpeg?q=70,Hot Deal,₹283,₹999,71% off
Women Flats Sandal,https://www.flipkart.com/global-india-women-flats/p/itm43f15b7b8823c?pid=SNDFWBXQZ9E8QZGG&lid=LSTSNDFWBXQZ9E8QZGGMIJIR3&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_13&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDFWBXQZ9E8QZGG.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/a/d/i/-original-imaggdgzschy34nw.jpeg?q=70,Only few left,₹339,"₹1,499",77% off
Women Flats Sandal,https://www.flipkart.com/shoestail-women-flats/p/itm1502732d3f8ad?pid=SNDGXGS2TUWMXFSC&lid=LSTSNDGXGS2TUWMXFSCSDEXRT&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&spotlightTagId=default_BestsellerId_osp%2Fiko%2F9d5&srno=b_1_14&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGXGS2TUWMXFSC.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/4/f/7/8-sl974womenflats-8-shoestail-purple-original-imagxzghpczhjhwh.jpeg?q=70,Only few left,₹292,₹999,70% off
Women Flats Sandal,https://www.flipkart.com/stylestry-women-flats/p/itm38deef67885cb?pid=SNDGVRCHKAKQ9VPX&lid=LSTSNDGVRCHKAKQ9VPXX46DKJ&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_15&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGVRCHKAKQ9VPX.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/k/k/v/4-harry-stylestry-purple-original-imagvrchbxzryztm.jpeg?q=70,Hot Deal,₹647,"₹1,499",56% off
Women Flats Sandal,https://www.flipkart.com/bambam-women-flats/p/itm3186d933556a4?pid=SNDGT2SS24TVMHAJ&lid=LSTSNDGT2SS24TVMHAJAP6NQO&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_16&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGT2SS24TVMHAJ.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/o/a/y/5-bbf-500-5-bambam-white-original-imah3kd644kt9kdm.jpeg?q=70,Hot Deal,₹268,₹999,73% off
Women VENDOZ DOCTOR ORTHOPEDIC MEMORY FOAM SANDALS Flat...,https://www.flipkart.com/vendoz-doctor-orthopedic-memory-foam-sandals-women-flats/p/itm7c4d8018966d3?pid=SNDHYQCPFC9527WH&lid=LSTSNDHYQCPFC9527WHYUW7UF&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_17&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxrlfmpw-zjk2jaVLoinMoVWoDkCbIO8-awzY93Joz-TLw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/7/b/b/6-vdr150-vendoz-brown-original-imahyqcpktkqmdn7.jpeg?q=70,Only few left,₹634,"₹1,499",57% off
Women Flats Sandal,https://www.flipkart.com/ravis-women-flats/p/itm1f0ac328f3785?pid=SNDGHFUR5U24GKSZ&lid=LSTSNDGHFUR5U24GKSZOO1THT&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_18&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxoU7v4Pp087d2MN0_TTd8aVh8qGZQ4Nx14LS2Cs_CuYtw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/y/g/k/5-chandni-sliper-5-ravis-green-original-imah5f7ungr7q25v.jpeg?q=70,Only few left,₹283,₹999,71% off
Women Flats Sandal,https://www.flipkart.com/styrafeet-women-flats/p/itmfe2b48bffb4ea?pid=SNDGWGYVYU2SCFHD&lid=LSTSNDGWGYVYU2SCFHDXMTKUP&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_19&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDGWGYVYU2SCFHD.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/kbnz8nk0/sandal/a/q/m/jlaser-cr-04-36-jsstyle-off-white-original-imafsyxzxfymmndr.jpeg?q=70,Only few left,₹257,₹499,48% off
Women Flats Sandal,https://www.flipkart.com/stylestry-women-flats/p/itmb135315b2332c?pid=SNDH4K74E5QWYJ9H&lid=LSTSNDH4K74E5QWYJ9H6VMIA7&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_20&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDH4K74E5QWYJ9H.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/k/x/t/6-aero-shoetopia-white-original-imah42esrkmhhbds.jpeg?q=70,Only 4 left,₹647,"₹1,999",67% off
Women VENDOZ DOCTOR ORTHOPEDIC MEMORY FOAM SANDALS Flat...,https://www.flipkart.com/vendoz-doctor-orthopedic-memory-foam-sandals-women-flats/p/itmd61e7e66c3417?pid=SNDHYQCQAYNGERS5&lid=LSTSNDHYQCQAYNGERS55TIIKF&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_21&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxq2htP0Utiu0I2kVLqNOicL67XeASwoQf7Gs963_ZjxMg%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/q/w/v/4-vdr153-vendoz-black-original-imahyqcpnd6c5rqr.jpeg?q=70,Hot Deal,₹636,"₹1,499",57% off
Women Flats Sandal,https://www.flipkart.com/ravis-women-flats/p/itm9d59c10d59ae2?pid=SNDFTNKAZQCWWWHZ&lid=LSTSNDFTNKAZQCWWWHZYIGTEB&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_22&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxoQJcIQedDLpFA2-J6IoYfZUcosVCxAOeF3i8mlzhtIAw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/5/l/0/5-flat-stonefly-5-ravis-green-original-imah5yhgcgjxkgd6.jpeg?q=70,Hot Deal,₹281,₹699,59% off
Women Flats Sandal,https://www.flipkart.com/bootco-women-flats/p/itmab3862a697e66?pid=SNDG493WETFXPSAZ&lid=LSTSNDG493WETFXPSAZKEZGM1&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_23&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDG493WETFXPSAZ.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/l/w/k/9-boot-3423-brown-9-bootco-brown-original-imah2bsrjfv7dxqq.jpeg?q=70,Hot Deal,₹341,₹999,65% off
Women Flats Sandal,https://www.flipkart.com/jumplite-women-flats/p/itmdff6fcef72604?pid=SNDH9GKJE5FDBTTJ&lid=LSTSNDH9GKJE5FDBTTJVHGDBU&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_24&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDH9GKJE5FDBTTJ.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/q/b/6/5-222-1a-5-jumplite-cream-original-imah9s3vpwyymexe.jpeg?q=70,Only few left,₹430,"₹3,299",86% off
Women Extra soft|Soft|Orthopedic|Comfortable|Ultra Soft...,https://www.flipkart.com/doctor-health-extra-soft-soft-orthopedic-comfortable-ultra-soft-women-clogs-sandal-women-flats/p/itm7b2e93e75fba4?pid=SNDHB2D2FZSJHHSQ&lid=LSTSNDHB2D2FZSJHHSQIV76EU&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_25&otracker=browse&fm=organic&iid=en_BlAx-61YyQ5agmsjMhWM1U6t07tcPRo6OJj3fsHhDxrqTvh-PpgWlsJs_Qw2T1_keE5WcCcS_OdISunQFXRoEw%3D%3D&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/6/1/w/8-dh-211-luxe-cream-8-doctor-health-cream-original-imahba957egxfcnd.jpeg?q=70,Hot Deal,₹498,₹999,50% off
Women Flats Sandal,https://www.flipkart.com/moncada-women-flats/p/itmce58091955bfe?pid=SNDH4KWGPGSJJP9P&lid=LSTSNDH4KWGPGSJJP9PWKLS3I&marketplace=FLIPKART&store=osp%2Fiko%2F9d5&srno=b_1_26&otracker=browse&fm=organic&iid=f2a629ed-6a99-4674-bc66-4333e96fac8a.SNDH4KWGPGSJJP9P.SEARCH&ppt=None&ppn=None&ssid=7v2ti3q7cg0000001747406563745,https://rukminim2.flixcart.com/image/612/612/xif0q/sandal/7/u/c/7-530-7-moncada-cream-original-imah4kwgvcg5zrcg.jpeg?q=70,Hot Deal,₹188,₹899,79% off
