Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Women Flip Flops,https://www.flipkart.com/asian-women-flip-flops/p/itm49fde55c9fa5e?pid=SFFHBCHYYTDAXRAS&lid=LSTSFFHBCHYYTDAXRASQJX5RW&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_15&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFHBCHYYTDAXRAS.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/2/1/b/7-s3-ashuman-black-original-imahc53s2ehecyar.jpeg?q=70,Hot Deal,₹228,₹999,77% off
Women Slides,https://www.flipkart.com/mast-harbour-women-slides/p/itm1cf6c06f5c936?pid=SFFH8D2R6ZVVAYJT&lid=LSTSFFH8D2R6ZVVAYJTY01U0M&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_20&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH8D2R6ZVVAYJT.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/j/t/j/3-dhss-217-cherry-bluish-doctor-health-super-soft-bluish-original-imahatkyqxzmzcx6.jpeg?q=70,Hot Deal,₹498,"₹2,499",80% off
|Lightweight|Antiskid|Ortho|Heels|Slippers for Women|Fl...,https://www.flipkart.com/doctor-walk-women-lightweight-antiskid-ortho-heels-slippers-women-flip-flop-girls-slippers/p/itm044c628164da7?pid=SFFGXE7F4WEAGHSS&lid=LSTSFFGXE7F4WEAGHSSS1JC4X&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_21&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNRJua37TyshSYBu8GrLq8NOQ2DUMeYGFpddIS5kdc9tIw%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/u/q/u/7-fl466-flite-pink-original-imah6ewyu4khd7he.jpeg?q=70,Only few left,₹249,₹399,37% off
Casual Beach Women Slides,https://www.flipkart.com/looksfootwear-women-casual-beach-slides/p/itm9b5701917a51f?pid=SFFFDS2DZMH7FBKB&lid=LSTSFFFDS2DZMH7FBKBRZTC54&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_26&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFFDS2DZMH7FBKB.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/j/i/y/6-ld341-layasa-purple-original-imah7jzsugqtbyeh.jpeg?q=70,Hot Deal,₹389,₹999,61% off
Newly Launch Stylish | Cushioned | Comfortable | Breath...,https://www.flipkart.com/doctor-health-super-soft-women-newly-launch-stylish-cushioned-comfortable-breathable-adjustable-strap-slippers/p/itme7764b2f57fe6?pid=SFFH5UUJ3HEETN6H&lid=LSTSFFH5UUJ3HEETN6H6Q2QKP&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_27&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNTuPNoh3439QKPSNLMkdc2rEBNrY6kEqTJiN4w4ZIOEQA%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/x/g/n/4-indigo-25-asian-black-original-imahbchwnnucann7.jpeg?q=70,Only few left,₹519,₹749,30% off
Premium Comfortable Stylish Light weight|Extra Softnes ...,https://www.flipkart.com/two-soft-women-premium-comfortable-stylish-light-weight-extra-softnes-daily-wear-casual-slipper-flip-flops/p/itma4cfcf1b41706?pid=SFFHYYZHFHVFNQHP&lid=LSTSFFHYYZHFHVFNQHPHJUYBV&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_29&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFHYYZHFHVFNQHP.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/k/y/k/7-ts-009-blk-ts-009-gldn-two-soft-black-golden-original-imah57cybhwmgfdy.jpeg?q=70,Hot Deal,₹253,₹699,63% off
Stylish Women Slippers Lightweight Comfort Fancy Flip F...,https://www.flipkart.com/two-soft-women-stylish-slippers-lightweight-comfort-fancy-flip-flops-women-girls/p/itm857741fd1bdbb?pid=SFFGSE4J6JW6EAEV&lid=LSTSFFGSE4J6JW6EAEVGHBQ5D&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_30&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFGSE4J6JW6EAEV.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/m/t/7/-original-imah34fr3r9ewwku.jpeg?q=70,Hot Deal,₹241,₹699,65% off
Women Slippers,https://www.flipkart.com/pkkart-women-slippers/p/itm02206a5173f04?pid=SFFG7HFZWMZ2PEZA&lid=LSTSFFG7HFZWMZ2PEZAVJOEGP&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_32&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNR85yJXrNN2O4nXrwWcpHlO_2V0siZUQUa3_Z5b5XyZSw%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/l/y/q/6-w-29-red-doctor-walk-red-original-imah3bjvyspgm5cp.jpeg?q=70,Hot Deal,₹241,₹699,65% off
Women Slides,https://www.flipkart.com/roadster-women-slides/p/itmb92151ec1a68f?pid=SFFH9FPYPSKHMPHG&lid=LSTSFFH9FPYPSKHMPHGMM4AJM&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_33&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH9FPYPSKHMPHG.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/8/h/d/6-flslipper-flite-tulip-purple-original-imah5gftxczjbztq.jpeg?q=70,Hot Deal,₹257,₹449,42% off
Flopsie Women Stylish Soft Comfortable Slipper Lightwei...,https://www.flipkart.com/flopsie-women-stylish-soft-comfortable-slipper-lightweight-dailywear-slippers/p/itmbd23b7bab3141?pid=SFFH6U8TBTRYM69Z&lid=LSTSFFH6U8TBTRYM69ZRAMYSV&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_34&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=59a964bc-62d4-481e-8823-5376329010aa.SFFH6U8TBTRYM69Z.SEARCH&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/y/w/7/3-m-iluf1015-rosepink-mast-harbour-rosepink-original-imah94kkfdhajr4e.jpeg?q=70,Only few left,₹475,"₹1,899",74% off
EXTRA SOFT HEEL Ortho Care Orthopaedic Comfort Women Sl...,https://www.flipkart.com/dashny-women-extra-soft-heel-ortho-care-orthopaedic-comfort-slippers/p/itmdd88a33eda4dd?pid=SFFGWTFNPGMJQXXR&lid=LSTSFFGWTFNPGMJQXXR1ONHBQ&marketplace=FLIPKART&store=osp%2Fiko%2Fiz7&srno=b_1_35&otracker=nmenu_sub_Women_0_Slippers%20%26%20Flip-%20Flop's1&fm=organic&iid=en_qI1wNzi0v2jzrbUhxuIJbMXl1-GfcK2rdCBn4P2NuNThtUVfP1O7DB91yK6g62z_giNNIUqAxtpb2hy25JHzkg%3D%3D&ppt=None&ppn=None&ssid=o4brcptzog0000001747411083645,https://rukminim2.flixcart.com/image/612/612/xif0q/slipper-flip-flop/e/q/4/5-dw-026-olive-doctor-walk-olive-original-imagxe7bheg83ugp.jpeg?q=70,Only few left,₹224,₹639,64% off
