Product Name,Product Link,Image URL,Deal,Price,Original Price,Discount
Sneakers For Women,https://www.flipkart.com/roadster-sneakers-women/p/itm0291815971768?pid=SHOGRNN6H258FX4Z&lid=LSTSHOGRNN6H258FX4Z2G6QDZ&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_24&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOGRNN6H258FX4Z.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/j/c/w/4-brd-sh-1337-4-birde-peach-original-imah9e9vnmwjgcrz.jpeg?q=70,"Buy 2 items, save extra ₹30",₹500,"₹1,499",66% off
"APEX Athletic Running Shoes Ultra-Lightweight, Breathab...",https://www.flipkart.com/bacca-bucci-apex-athletic-running-shoes-ultra-lightweight-breathable-knit-upper-outdoors-women/p/itmfe569bb324c53?pid=SHOHYWQGDXYGDR7R&lid=LSTSHOHYWQGDXYGDR7RTOM6LI&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_25&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-Yp7AP4125eSsorV1HHDFMw008Q1UeoIoo8Nu-uHbcww04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/h/c/8-combo-rosy-lilac-pink-daizy-purple-8-evok-lilac-pink-purple-original-imagkpfvvqncxmvg.jpeg?q=70,Only few left,₹373,₹999,62% off
Running Shoes For Women,https://www.flipkart.com/kraasa-running-shoes-women/p/itmeeb720bff2fb4?pid=SHOGXF94HZHSPMSP&lid=LSTSHOGXF94HZHSPMSP5IQII2&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_27&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-b6ZxUzQwzQ_MuPvkMbu0fiYYC9aGJ9_d8M6a0Vl3eEOdmEaX_1OVaDgohoY5ZV-y8%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/d/t/z/-original-imagz5kyh95rcyug.jpeg?q=70,Hot Deal,₹803,"₹1,049",23% off
SL 9036 Walking Shoes For Women,https://www.flipkart.com/sparx-sl-9036-walking-shoes-women/p/itmc25f553b55766?pid=SHOGW8Y62EYVF38D&lid=LSTSHOGW8Y62EYVF38DYO7NSQ&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_28&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-ZP2E6y35hiIcYcQH_IaIVSGpQLy3XzYxZ_Pt28n18vAFhWlg14bXFG9tZ2S67Bqg0%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/w/c/8-firefly-09-8-asian-navy-pink-original-imahahh8bpm8pzjg.jpeg?q=70,"Buy 2 items, save extra 5%",₹801,"₹1,499",46% off
Women's Mesh Sports Shoes Walking Running Shoes For Wom...,https://www.flipkart.com/layasa-women-s-mesh-sports-shoes-walking-running-women/p/itmbffaaac25f888?pid=SHOH3HFUXNFYQYH5&lid=LSTSHOH3HFUXNFYQYH5HRA10A&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_31&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-bBeyQVgDROMbEpwXiRcANBxj8TU0IY0iuVMbLMlu0EWw%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/t/5/i/6-alia-6-zuvic-onion-pink-162-original-imahbvzz5qmfnqzm.jpeg?q=70,Only few left,₹300,₹999,69% off
"Bersache Premium Sports ,Gym, Trending Stylish Running ...",https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-walking-women/p/itmbff30f0c0f356?pid=SHOHFK4BAFMRZ4MJ&lid=LSTSHOHFK4BAFMRZ4MJQ1C4E5&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_32&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-aCVB6bOiH7YnWF1Nil3j3ovsXwDpHP2c6gon2lCSqM5L3nN5BP0oUQf7sdSRT1im4%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/m/t/5-flp-816-mrn-5-fabbmate-maroon-original-imagtyvytec9rcs3.jpeg?q=70,Hot Deal,₹372,₹799,53% off
Women's Stylish and Comfortable Running Shoes with Hook...,https://www.flipkart.com/heatup-women-s-stylish-comfortable-running-shoes-hook-loop-straps-outdoors-women/p/itmee26287254c0e?pid=SHOHBJ7ZDJMSDGGF&lid=LSTSHOHBJ7ZDJMSDGGFFCSMPK&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_33&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOHBJ7ZDJMSDGGF.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/8/v/i/7-black-red-fws-13-s-shoe-7-footox-black-red-original-imah6kfwz4kab6dz.jpeg?q=70,Hot Deal,₹360,₹999,63% off
HRX-147 03 Running Shoes For Women,https://www.flipkart.com/hrx-hrithik-roshan-hrx-147-03-running-shoes-women/p/itm5aeb9b2b71f80?pid=SHOGYGBJVY6FDG5H&lid=LSTSHOGYGBJVY6FDG5H7V0XOC&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_35&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=en_m5iG-rj2tb68yntyRcLUpmEnkaAuNwD2nruw9rimC-YMIzIkDTiphE1pTsNYMW4htT6m7L4eURUYpBChm_DTog%3D%3D&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/p/r/j/7-lls00308lbkwh-7-aqualite-black-white-original-imahbygygeuakqgv.jpeg?q=70,Only few left,₹599,₹699,14% off
Walking Shoes For Women,https://www.flipkart.com/ajanta-walking-shoes-women/p/itm3bf9c5ad6f272?pid=SHOGUF3UFSSVHB6P&lid=LSTSHOGUF3UFSSVHB6P8HSL5K&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_36&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOGUF3UFSSVHB6P.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/a/7/f/5-22l-204-5-campus-pink-s-grn-original-imah9tfqywerqm9e.jpeg?q=70,Only few left,"₹1,218","₹1,399",12% off
Women's Breathable Slip-On Knitted Mesh Sneakers for Ev...,https://www.flipkart.com/heatup-women-s-breathable-slip-on-knitted-mesh-sneakers-everyday-comfort-slip-women/p/itmb6ed63e0ee11f?pid=SHOHBDEGFQMHGZ4S&lid=LSTSHOHBDEGFQMHGZ4SVXQBP3&marketplace=FLIPKART&store=osp%2Fiko%2Fd20&srno=b_1_40&otracker=nmenu_sub_Women_0_Sports%20Shoes1&fm=organic&iid=44bf8c0f-d995-4d53-ad51-d9d0bba2d54b.SHOHBDEGFQMHGZ4S.SEARCH&ppt=None&ppn=None&ssid=hcee6i0lg00000001747406472099,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-shoe/w/y/f/4-sneaker-for-women-38-fastnslow-green-original-imahb5q25jnsxhfh.jpeg?q=70,Hot Deal,₹476,₹999,52% off
